ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession
ARO:3000317	36456	51	874	AAC(1)	AAC(1)-I	ADH03009.1	HM036080
ARO:3002523	38923	53	1781	AAC(2')-Ia	AAC(2')-Ia	AAA03550.1	L06156
ARO:3002524	38924	85	746	AAC(2')-Ib	AAC(2')-Ib	AAC44793.1	U41471
ARO:3002525	38925	226	1246	AAC(2')-Ic	AAC(2')-Ic	CCP42991.1	AL123456
ARO:3002526	38926	228	1415	AAC(2')-Id	AAC(2')-Id	AAB41701.1	U72743
ARO:3002527	38927	4182	2832	AAC(2')-Ie	AAC(2')-Ie	NP_302635.1	NC_002677.1
ARO:3003988	40870	3860	2524	AAC(2')-IIb	AAC(2')-IIb	APB03221.1	KX531051.1
ARO:3002528	38928	3369	39	AAC(3)-Ia	AAC(3)-Ia	AAG15269.1	U12338
ARO:3002530	38930	224	575	AAC(3)-Ib	AAC(3)-Ib	AAA88422.1	L06157
ARO:3002600	39000	271	209	AAC(3)-Ib/AAC(6')-Ib''	AAC(3)-Ib/AAC(6')-Ib''	AAL82588.1	AF355189
ARO:3002531	38931	47	1131	AAC(3)-Ic	AAC(3)-Ic	CAD53575.1	AJ511268
ARO:3002529	38929	223	742	AAC(3)-Id	AAC(3)-Id	AAR21614.1	AY458224
ARO:3002533	38933	4266	478	AAC(3)-IIa	AAC(3)-IIa	CAA31895.1	X13543.1
ARO:3002534	38934	10	925	AAC(3)-IIb	AAC(3)-IIb	AAA26548.1	M97172
ARO:3002535	38935	616	1378	AAC(3)-IIc	AAC(3)-IIc	CAA38525.1	X54723
ARO:3002536	38936	6	1879	AAC(3)-IIIa	AAC(3)-IIIa	CAA39184.1	X55652
ARO:3002537	38937	188	410	AAC(3)-IIIb	AAC(3)-IIIb	AAA25682.1	L06160
ARO:3002538	38938	9	51	AAC(3)-IIIc	AAC(3)-IIIc	AAA25683.1	L06161
ARO:3002539	38939	3715	639	AAC(3)-IV	AAC(3)-IV	ABB43029.1	DQ241380.1
ARO:3002543	38943	655	2030	AAC(3)-IXa	AAC(3)-IXa	AAA25334.1	M55427
ARO:3002540	38940	659	1105	AAC(3)-VIa	AAC(3)-VIa	AAA16194.1	M88012
ARO:3002541	38941	694	653	AAC(3)-VIIa	AAC(3)-VIIa	AAA88552.1	M22999
ARO:3002542	38942	12	501	AAC(3)-VIIIa	AAC(3)-VIIIa	AAA26685.1	M55426
ARO:3002544	38944	727	1483	AAC(3)-Xa	AAC(3)-Xa	BAA78619.1	AB028210
ARO:3002583	38983	222	300	AAC(6')-29a	AAC(6')-29a	AAK26252.2	AF263519
ARO:3002584	38984	263	659	AAC(6')-29b	AAC(6')-29b	ACI31326.1	EU118148
ARO:3002599	38999	186	922	AAC(6')-30/AAC(6')-Ib' fusion protein	AAC(6')-30/AAC(6')-Ib' fusion protein	CAE48335.2	AJ584652
ARO:3002585	38985	267	1093	AAC(6')-31	AAC(6')-31	CAK55557.1	AM283489
ARO:3002586	38986	310	1577	AAC(6')-32	AAC(6')-32	ABR10839.1	EF614235
ARO:3002587	38987	362	924	AAC(6')-33	AAC(6')-33	AEZ05106.1	JN596280
ARO:3003989	40871	3861	2525	AAC(6')-34	AAC(6')-34	APB03223.1	KX531053.1
ARO:3002588	38988	399	1365	AAC(6')-I30	AAC(6')-I30	AAP43642.1	AY289608
ARO:3002545	38945	547	574	AAC(6')-Ia	AAC(6')-Ia	AAA98298.1	M18967
ARO:3002571	38971	308	1526	AAC(6')-Iaa	AAC(6')-Iaa	NP_460578.1	NC_003197
ARO:3002572	38972	264	1911	AAC(6')-Iad	AAC(6')-Iad	BAD12078.1	AB119105
ARO:3002573	38973	583	738	AAC(6')-Iae	AAC(6')-Iae	BAD14386.1	AB104852
ARO:3002574	38974	672	156	AAC(6')-Iaf	AAC(6')-Iaf	BAH66386.1	AB462903
ARO:3002575	38975	708	1602	AAC(6')-Iai	AAC(6')-Iai	ACI28880.1	EU886977
ARO:3003677	40309	3379	2191	AAC(6')-Iaj	AAC(6')-Iaj	BAM46120.1	AB709942
ARO:3003199	39782	3283	1909	AAC(6')-Iak	AAC(6')-Iak	BAO21229.1	AB894482
ARO:3002546	38946	231	63	AAC(6')-Ib	AAC(6')-Ib	AFJ11384.1	JQ808129
ARO:3003676	40308	3393	1235	AAC(6')-Ib'	AAC(6')-Ib'	AAT74613.1	AY660529.1
ARO:3002581	38981	314	1370	AAC(6')-Ib10	AAC(6')-Ib10	AAC46343.1	U59183
ARO:3002582	38982	366	1801	AAC(6')-Ib11	AAC(6')-Ib11	AAN41403.1	AY136758
ARO:3002576	38976	141	1068	AAC(6')-Ib3	AAC(6')-Ib3	ACS44715.1	FJ854362
ARO:3002577	38977	401	1002	AAC(6')-Ib4	AAC(6')-Ib4	AAL38577.1	AF445082
ARO:3002578	38978	3683	2117	AAC(6')-Ib7	AAC(6')-Ib7	AKN19287.1	Y11946.1
ARO:3002579	38979	3719	2071	AAC(6')-Ib8	AAC(6')-Ib8	YP_009062819.1	NC_025003.1
ARO:3002580	38980	463	993	AAC(6')-Ib9	AAC(6')-Ib9	AAD02244.1	AF043381
ARO:3002547	38947	272	1678	AAC(6')-Ib-cr	AAC(6')-Ib-cr	ABC17627.1	DQ303918
ARO:3002592	38992	29	1000	AAC(6')-Ib-Hangzhou	AAC(6')-Ib-Hangzhou	ACL37342.1	FJ503047
ARO:3002593	38993	360	1024	AAC(6')-Ib-SK	AAC(6')-Ib-SK	BAD11815.1	AB164230
ARO:3002591	38991	83	444	AAC(6')-Ib-Suzhou	AAC(6')-Ib-Suzhou	ABU55430.1	EU085533
ARO:3002549	38949	306	1299	AAC(6')-Ic	AAC(6')-Ic	AAA26549.1	M94066
ARO:3002597	38997	305	1814	AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	NP_863643.1	NC_005024
ARO:3002553	38953	358	1651	AAC(6')-If	AAC(6')-If	CAA39038.1	X55353
ARO:3002554	38954	396	1111	AAC(6')-Ig	AAC(6')-Ig	AAA21889.1	L09246
ARO:3002555	38955	456	676	AAC(6')-Ih	AAC(6')-Ih	AAC41391.1	L29044
ARO:3002556	38956	172	1050	AAC(6')-Ii	AAC(6')-Ii	AAB63533.1	L12710
ARO:3002594	38994	460	1657	AAC(6')-IIa	AAC(6')-IIa	AAM92464.1	AY123251
ARO:3002595	38995	497	140	AAC(6')-IIb	AAC(6')-IIb	AAA25680.1	L06163
ARO:3002596	38996	313	730	AAC(6')-IIc	AAC(6')-IIc	AAD46626.1	AF162771
ARO:3002548	38948	3392	2204	AAC(6')-IId	AAC(6')-IId	AGL46466.1	KC543497.1
ARO:3002589	38989	207	1831	AAC(6')-Iid	AAC(6')-Iid	CAE50925.1	AJ584700
ARO:3002590	38990	250	1891	AAC(6')-Iih	AAC(6')-Iih	CAE50926.1	AJ584701
ARO:3002557	38957	494	724	AAC(6')-Ij	AAC(6')-Ij	AAC41392.1	L29045
ARO:3002558	38958	541	1977	AAC(6')-Ik	AAC(6')-Ik	AAA87229.1	L29510
ARO:3002559	38959	293	1653	AAC(6')-Ip	AAC(6')-Ip	CAA91010.1	Z54241
ARO:3002559	38959	292	1653	AAC(6')-Ip	AAC(6')-Ip	AAK63041.1	AF337947
ARO:3002560	38960	343	1327	AAC(6')-Iq	AAC(6')-Iq	AAC25500.1	AF047556
ARO:3002561	38961	581	1821	AAC(6')-Ir	AAC(6')-Ir	AAD03490.1	AF031326
ARO:3002562	38962	669	544	AAC(6')-Is	AAC(6')-Is	AAD03491.1	AF031327
ARO:3002563	38963	705	967	AAC(6')-Isa	AAC(6')-Isa	BAD10948.2	AB116646
ARO:3002564	38964	736	1674	AAC(6')-It	AAC(6')-It	AAD03492.1	AF031328
ARO:3002565	38965	27	110	AAC(6')-Iu	AAC(6')-Iu	AAD03493.1	AF031329
ARO:3002566	38966	81	784	AAC(6')-Iv	AAC(6')-Iv	AAD03494.1	AF031330
ARO:3002567	38967	139	1271	AAC(6')-Iw	AAC(6')-Iw	AAD03495.1	AF031331
ARO:3002568	38968	170	1939	AAC(6')-Ix	AAC(6')-Ix	AAD03496.1	AF031332
ARO:3002569	38969	397	360	AAC(6')-Iy	AAC(6')-Iy	AAF03531.1	AF144880
ARO:3002570	38970	205	1995	AAC(6')-Iz	AAC(6')-Iz	AAD52985.1	AF140221
ARO:3002628	39028	164	1562	aad(6)	aad(6)	AAU10334.1	AY712687
ARO:3002601	39001	725	650	aadA	aadA	YP_001715321.1	NC_010410
ARO:3002611	39011	14	1772	aadA11	aadA11	CAD99015.1	AJ567827
ARO:3002611	39011	13	1772	aadA11	aadA11	AAV32840.1	AY758206
ARO:3002612	39012	57	149	aadA12	aadA12	ACJ47200.1	FJ381668
ARO:3002613	39013	3363	2087	aadA13	aadA13	YP_009081591.1	NG_036525
ARO:3002614	39014	92	1839	aadA14	aadA14	CAI57696.1	AJ884726
ARO:3002615	39015	116	1162	aadA15	aadA15	ABD58917.1	DQ393783
ARO:3002616	39016	373	1762	aadA16	aadA16	ACF17980.1	EU675686
ARO:3002617	39017	160	502	aadA17	aadA17	ACK43806.1	FJ460181
ARO:3002602	39002	3404	1227	aadA2	aadA2	AAF27727.1	AF156486
ARO:3002618	39018	195	584	aadA21	aadA21	AAN87151.1	AY171244
ARO:3002619	39019	238	1392	aadA22	aadA22	CAK12750.1	AM261837
ARO:3002620	39020	280	69	aadA23	aadA23	CAH10847.1	AJ809407
ARO:3002621	39021	330	1682	aadA24	aadA24	ABG72894.1	DQ677333
ARO:3003197	39780	3329	642	aadA25	aadA25	AET15272.1	CP003022
ARO:3002603	39003	372	1539	aadA3	aadA3	AAC14728.1	AF047479
ARO:3002604	39004	408	120	aadA4	aadA4	AAN34365.1	AY138986
ARO:3002605	39005	471	1420	aadA5	aadA5	AAF17880.1	AF137361
ARO:3002606	39006	199	2009	aadA6	aadA6	CAJ32504.1	AM087411
ARO:3002622	39022	409	1242	aadA6/aadA10	aadA6/aadA10	CAJ32491.1	AM087405
ARO:3002607	39007	516	1464	aadA7	aadA7	BAD00739.1	AB114632
ARO:3002608	39008	558	2043	aadA8	aadA8	AAN41439.1	AY139603
ARO:3002609	39009	601	323	aadA9	aadA9	ABG49324.1	DQ390458
ARO:3002627	39027	472	426	aadK	aadK	CAB14620.1	AL009126
ARO:3003942	40695	3747	2416	abcA	abcA	XP_753111.1	NC_007194.1
ARO:3000753	37133	671	1368	abeM	abeM	BAD89844.2	AB204810
ARO:3000768	37148	4255	593	abeS	abeS	ACJ59254.1	CP001172.1
ARO:3001815	38215	856	1663	ACC-1	ACC-1	CAB46491.1	AJ133121
ARO:3001816	38216	1852	2024	ACC-2	ACC-2	AAF86691.1	AF180952
ARO:3001817	38217	1910	1422	ACC-3	ACC-3	AAF86697.1	AF180958
ARO:3001818	38218	1989	406	ACC-4	ACC-4	ABP49606.1	EF504260
ARO:3001819	38219	778	1865	ACC-5	ACC-5	CCK86740.1	HE819401
ARO:3004359	41531	4259	2874	ACI-1	ACI-1	CAB51471.1	AJ007350.1
ARO:3003796	40481	3566	2300	Acinetobacter baumannii AmpC beta-lactamase	Acinetobacter baumannii ampC beta-lactamase	ACJ42146.1	CP001182.1
ARO:3003817	40507	3583	2314	Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones	Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones	AJF82744.1	CP010781.1
ARO:3003809	40495	3577	2308	Acinetobacter OprD conferring resistance to imipenem	Acinetobacter baumannii OprD conferring resistance to imipenem	AHB92962.1	CP006768.1
ARO:3003818	40508	3584	2315	Acinetobacter baumannii parC conferring resistance to fluoroquinolone	Acinetobacter baumannii parC conferring resistance to fluoroquinolone	ALJ89624.1	CP012952.1
ARO:3000216	36355	4015	1104	acrB	acrB	NP_414995.1	NC_000913.3
ARO:3000491	36630	664	1427	acrD	acrD	YP_490697.1	NC_007779
ARO:3000499	36638	333	1445	acrE	AcrE	AAC76297.1	U00096
ARO:3000502	36641	700	1437	acrF	AcrF	AAC76298.1	U00096
ARO:3000656	37000	551	520	acrS	AcrS	AAC76296.1	U00096
ARO:3001821	38221	860	667	ACT-1	ACT-1	AAC45086.2	U58495
ARO:3001832	38232	940	22	ACT-10	ACT-10	AEV91214.1	JN848330
ARO:3001834	38234	1017	1506	ACT-12	ACT-12	AFU25650.1	JX440355
ARO:3001835	38235	1094	1900	ACT-13	ACT-13	CCK86741.1	HE819402
ARO:3001836	38236	1176	1541	ACT-14	ACT-14	AFU25647.1	JX440354
ARO:3001837	38237	1262	951	ACT-15	ACT-15	AFU25653.1	JX440356
ARO:3001827	38227	1341	638	ACT-16	ACT-16	BAM34463.1	AB737978
ARO:3001838	38238	1418	1114	ACT-17	ACT-17	AHM76771.1	KF992026
ARO:3001839	38239	1505	1565	ACT-18	ACT-18	AHM76777.1	KF992028
ARO:3001840	38240	1583	236	ACT-19	ACT-19	AHM76779.1	KF992029
ARO:3001822	38222	1812	526	ACT-2	ACT-2	CAJ28994.1	AM076977
ARO:3001841	38241	1853	1309	ACT-20	ACT-20	AHA80105.1	KF526117
ARO:3001842	38242	1854	1905	ACT-21	ACT-21	AHA80106.1	KF526118
ARO:3001843	38243	1911	401	ACT-22	ACT-22	AHM76774.1	KF992027
ARO:3001828	38228	1990	1645	ACT-23	ACT-23	AGU38146.1	KF515536
ARO:3001844	38244	779	1929	ACT-24	ACT-24	AHL39336.1	KJ207207
